Folder,Source,Especie,Foto_num,Alt_cabeza,Alt_ojo,Radio_AC_AO,Total_length
20200119_T_Pesca_Rawson,2,Gatuzo,"111,112",19.3,7,2.76,265
20200119_T_Pesca_Rawson,2,Gatuzo,113,20.4,4.95,4.12,290
20200119_T_Pesca_Rawson,2,Gatuzo,"114,115,116",17.7,5.4,3.28,282
20210124_torneo_pesca_Punion,2,Gatuzo,56-57,26.1,7.7,3.39,293
20210124_torneo_pesca_Punion,2,Gatuzo,74-75,48.2,16.5,2.92,300
20210124_torneo_pesca_Punion,2,Gatuzo,125-127,50.55,14.01,4.03,623
20210124_torneo_pesca_Punion,2,Gatuzo,147-149,32.22,10,3.22,159
20210124_torneo_pesca_Punion,2,Gatuzo,204,20.49,6.29,3.26,239
20210124_torneo_pesca_Punion,2,Gatuzo,205,28.99,7.9,3.67,325
20210124_torneo_pesca_Punion,2,Gatuzo,239-240,49.48,12.9,4.11,685
20210207_torneo20hs_PUnion,2,Gatuzo,3-Jan,26.038,9.359,2.78,275
20210207_torneo20hs_PUnion,2,Gatuzo,6-Apr,287.673,75.895,3.8,311
20210207_torneo20hs_PUnion,2,Gatuzo,8-Jul,20.557,6.463,3.18,317
20210207_torneo20hs_PUnion,2,Gatuzo,9,23.013,9.315,2.47,300
20210207_torneo20hs_PUnion,2,Gatuzo,11-Oct,22.095,6.86,3.22,335
20210207_torneo20hs_PUnion,2,Gatuzo,12_13,18.668,4.972,3.75,316
20210207_torneo20hs_PUnion,2,Gatuzo,75-76,20.257,6.855,2.96,300
20210207_torneo20hs_PUnion,2,Gatuzo,79_80,23.623,7.33,3.22,324
20210207_torneo20hs_PUnion,2,Gatuzo,85-86,30.422,10.51,2.89,106
20210207_torneo20hs_PUnion,2,Gatuzo,123-124,27.158,7.057,3.85,295
20210207_torneo20hs_PUnion,2,Gatuzo,130-131,24.08,7.31,3.29,341
20210207_torneo20hs_PUnion,2,Gatuzo,153,30.533,8.338,3.66,341
20190503SesionPescaEMA/Peste,1,Magru,80-83,48.3,18.5,2.61,371.5
20190503SesionPescaEMA/Peste,1,Magru,84-86,33.2,12.5,2.66,301.5
20190503SesionPescaEMA/Peste,1,Magru,90-92,27.3,11.8,2.31,278.7
20190503SesionPescaEMA/Peste,1,Magru,93-94,33,15.1,2.19,315.5
20190503SesionPescaEMA/Peste,1,Magru,95-96,34.4,15.3,2.25,327.6
20190503SesionPescaEMA/Peste,1,Magru,97-98,35.4,15.9,2.23,335.9
20190503SesionPescaEMA/Peste,1,Magru,99-100,31,14.8,2.09,306.2
20190503SesionPescaEMA/Peste,1,Magru,101-103,36.7,17.2,2.45,342.5
20190503SesionPescaEMA/Peste,1,Magru,104-105,33.7,15.2,2.22,328
20190503SesionPescaEMA/Peste,1,Magru,106-107,32.9,16.7,1.97,294
20190503SesionPescaEMA/Peste,1,Magru,108-109,33.6,13.9,2.43,347.7
20190503SesionPescaEMA/Peste,1,Magru,110-111,33.9,16.7,2.03,308.2
20190503SesionPescaEMA/Peste,1,Magru,112-113,29.8,12.5,2.38,281.8
20190503SesionPescaEMA/Peste,1,Magru,114-116,29.5,13.3,2.22,287.2
20190503SesionPescaEMA/Peste,1,Magru,117-,33.5,14.1,2.38,313.3
20190503SesionPescaEMA/Peste,1,Magru,118-119,32.6,15.5,2.1,296.7
20190503SesionPescaEMA/Peste,1,Magru,120-121,31.7,15.1,2.1,295.4
20190503SesionPescaEMA/Peste,1,Magru,122-123,29.7,14.5,2.05,284.1
20190503SesionPescaEMA/Peste,1,Magru,124-125,31.1,14.2,2.19,297.1
20190503SesionPescaEMA/Peste,1,Magru,126-127,31.6,14.6,2.16,306.7
